source,year,month,platform,item_head,targets,done_ltrs,achieved_pct,est_ltr
secondary,2024,7,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,7,BigBasket,COMMODITY,,0.0,,0.0
secondary,2024,7,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,7,Flipkart,COMMODITY,,0.0,,0.0
secondary,2024,7,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2024,8,Amazon,PREMIUM,,68486.55,,68486.55
secondary,2024,8,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2024,8,Blinkit,PREMIUM,,25098.0,,25098.0
secondary,2024,8,Swiggy,PREMIUM,,0.0,,0.0
secondary,2024,8,Zepto,PREMIUM,,0.0,,0.0
secondary,2024,8,BigBasket,PREMIUM,,0.0,,0.0
secondary,2024,8,Zomato,PREMIUM,,0.0,,0.0
secondary,2024,8,CityMall,PREMIUM,,0.0,,0.0
secondary,2024,8,Flipkart,PREMIUM,,0.0,,0.0
secondary,2024,8,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,8,Amazon,COMMODITY,,60430.0,,60430.0
secondary,2024,8,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,8,Blinkit,COMMODITY,,4212.0,,4212.0
secondary,2024,8,Swiggy,COMMODITY,,0.0,,0.0
secondary,2024,8,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,8,BigBasket,COMMODITY,,0.0,,0.0
secondary,2024,8,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,8,Flipkart,COMMODITY,,0.0,,0.0
secondary,2024,8,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2024,9,Amazon,PREMIUM,,66383.45,,66383.45
secondary,2024,9,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2024,9,Blinkit,PREMIUM,,27502.0,,27502.0
secondary,2024,9,Swiggy,PREMIUM,,0.0,,0.0
secondary,2024,9,Zepto,PREMIUM,,0.0,,0.0
secondary,2024,9,BigBasket,PREMIUM,,0.0,,0.0
secondary,2024,9,Zomato,PREMIUM,,0.0,,0.0
secondary,2024,9,CityMall,PREMIUM,,0.0,,0.0
secondary,2024,9,Flipkart,PREMIUM,,0.0,,0.0
secondary,2024,9,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,9,Amazon,COMMODITY,,83433.0,,83433.0
secondary,2024,9,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,9,Blinkit,COMMODITY,,5942.0,,5942.0
secondary,2024,9,Swiggy,COMMODITY,,0.0,,0.0
secondary,2024,9,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,9,BigBasket,COMMODITY,,0.0,,0.0
secondary,2024,9,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,9,Flipkart,COMMODITY,,0.0,,0.0
secondary,2024,9,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2024,10,Amazon,PREMIUM,,79277.75,,79277.75
secondary,2024,10,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2024,10,Blinkit,PREMIUM,,27783.0,,27783.0
secondary,2024,10,Swiggy,PREMIUM,,0.0,,0.0
secondary,2024,10,Zepto,PREMIUM,,0.0,,0.0
secondary,2024,10,BigBasket,PREMIUM,,0.0,,0.0
secondary,2024,10,Zomato,PREMIUM,,0.0,,0.0
secondary,2024,10,CityMall,PREMIUM,,0.0,,0.0
secondary,2024,10,Flipkart,PREMIUM,,0.0,,0.0
secondary,2024,10,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,10,Amazon,COMMODITY,,147081.0,,147081.0
secondary,2024,10,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,10,Blinkit,COMMODITY,,3966.0,,3966.0
secondary,2024,10,Swiggy,COMMODITY,,0.0,,0.0
secondary,2024,10,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,10,BigBasket,COMMODITY,,0.0,,0.0
secondary,2024,10,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,10,Flipkart,COMMODITY,,0.0,,0.0
secondary,2024,10,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2024,11,Amazon,PREMIUM,,56357.85,,56357.85
secondary,2024,11,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2024,11,Blinkit,PREMIUM,,25767.0,,25767.0
secondary,2024,11,Swiggy,PREMIUM,,0.0,,0.0
secondary,2024,11,Zepto,PREMIUM,,0.0,,0.0
secondary,2024,11,BigBasket,PREMIUM,,0.0,,0.0
secondary,2024,11,Zomato,PREMIUM,,0.0,,0.0
secondary,2024,11,CityMall,PREMIUM,,0.0,,0.0
secondary,2024,11,Flipkart,PREMIUM,,0.0,,0.0
secondary,2024,11,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,11,Amazon,COMMODITY,,78995.0,,78995.0
secondary,2024,11,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,11,Blinkit,COMMODITY,,3174.0,,3174.0
secondary,2024,11,Swiggy,COMMODITY,,0.0,,0.0
secondary,2024,11,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,11,BigBasket,COMMODITY,,0.0,,0.0
secondary,2024,11,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,11,Flipkart,COMMODITY,,0.0,,0.0
secondary,2024,11,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2024,12,Amazon,PREMIUM,,67505.85,,67505.85
secondary,2024,12,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2024,12,Blinkit,PREMIUM,,31492.0,,31492.0
secondary,2024,12,Swiggy,PREMIUM,,0.0,,0.0
secondary,2024,12,Zepto,PREMIUM,,0.0,,0.0
secondary,2024,12,BigBasket,PREMIUM,,7456.0,,7456.0
secondary,2024,12,Zomato,PREMIUM,,0.0,,0.0
secondary,2024,12,CityMall,PREMIUM,,0.0,,0.0
secondary,2024,12,Flipkart,PREMIUM,,0.0,,0.0
secondary,2024,12,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2024,12,Amazon,COMMODITY,,85850.0,,85850.0
secondary,2024,12,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2024,12,Blinkit,COMMODITY,,3819.0,,3819.0
secondary,2024,12,Swiggy,COMMODITY,,0.0,,0.0
secondary,2024,12,Zepto,COMMODITY,,0.0,,0.0
secondary,2024,12,BigBasket,COMMODITY,,5557.0,,5557.0
secondary,2024,12,CityMall,COMMODITY,,0.0,,0.0
secondary,2024,12,Flipkart,COMMODITY,,0.0,,0.0
secondary,2024,12,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2025,1,Amazon,PREMIUM,,76148.65,,76148.65
secondary,2025,1,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2025,1,Blinkit,PREMIUM,,35866.0,,35866.0
secondary,2025,1,Swiggy,PREMIUM,,0.0,,0.0
secondary,2025,1,Zepto,PREMIUM,,0.0,,0.0
secondary,2025,1,BigBasket,PREMIUM,,4028.0,,4028.0
secondary,2025,1,Zomato,PREMIUM,,0.0,,0.0
secondary,2025,1,CityMall,PREMIUM,,0.0,,0.0
secondary,2025,1,Flipkart,PREMIUM,,9254.0,,9254.0
secondary,2025,1,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2025,1,Amazon,COMMODITY,,134312.0,,134312.0
